Georgetown,Richmond,GW,Drexel,JMU,GMU,Vtech
start-3:08 O Point (B),start-0:33 D1 Point (B),start-0:07 O Point (H),start-0:22 O Point (H),start-2:08 O Point (H),start-1:17 D1 Point (B),start-3:11 D1 Point (H)
3:30-3:46 O Point (H),0:42-1:19 D2 Point (B),0:14-3:34 D1 Point (B),0:29-1:15 D1 Point (B),2:10-3:08 D1 Point (H),1:30-3:41 D2 Point (H),3:14-3:47 O Point (H)
3:52-4:36 D1 point (H),1:25-4:00 D1 Point (B),3:36-4:08 D2 Point (H),1:31-5:03 D2 Point (B),3:20-3:44 O Point (H),3:45-5:30 O Point (H),3:48-4:46 D Point (H)
4:49-5:08 O Point (H),4:03-5:42 D2 Point (B),4:31-4:45 O Point (H),5:12-10:18 Aggro Z Point (B),4:33-6:27 D1 Point (B),5:39-6:24 D1 Point (H),4:48-6:28 O point (H)
5:11-5:43 D1 Point (B),6:03-9:25 Aggro Z Point (B),4:53-6:29 Aggro Z Point (B),11:00-12:50 Suns Point (B),6:29-6:54 Suns Point (H),6:45-7:24 O Point (H) ,6:38-7:03 D2 Point (H)
5:47-7:12 D2 Point (H),9:32-13:07 D2 Point (H),6:37-7:54 D2 Point (H),13:40-14:43 D1 + Daylan Point (B),7:15-7:40 O Point (H),7:31-10:42 D1 Point (H),7:06-9:13 O Point (H)
7:40-7:50 O Point (H),13:15-14:05 O Point (H),8:03-8:22 O Point (H),15:00-15:50 D2 Point (H),7:50-9:12 D1 Point (H),11:08-11:59 O Point (H),9:17-11:10 D1 Point (B)
7:56-8:34 D1 Point (B),14:10-15:04 D1 Point (B),8:32-12:05 D1 Point (B),16:35-17:00 O Point (H),9:45-10:10 O Point (H),12:30-13:55 D2 Point (H),11:13-12:46 Aggro Z Point (B)
8:37-11:56 D1 Point (H),15:07-19:06 Aggro Z Point (B),12:18-15:52 D2 Point (H),17:13-18:14 Aggro Z Point (H), 10:20-12:45 Aggro Z Point (H),14:27-14:50 O Point (B),12:47-13:27 D2 Point (H)
12:00-12:56 O Point (H),19:31-20:04 O Point (H),16:00-16:15 O Point (H),18:56-19:53 O Point (H),13:14-13:43 O Point (H),14:59-16:07 O Point (H),13:29-13:58 O Point (H)
13:00-13:38 D2 Point (H),20:10-22:27 Suns Point (B),16:23-21:07 D1 Point (H),20:07-20:28 O as D Point (H),14:32-14:35 D1 Point (H),16:21-16:29 Kill D Point (lol only the pull got filmed),14:29-15:21 D1 Point (H)
14:13-14:40 O Point (H),22:32-25:22 D1 Point (B),21:51-22:16 O Point (H),20:30-21:46 D1 as O Point (H),15:47-16:55 O Point (B),16:30-17:17 D1 Point (H),15:30-16:25 O Point (H)
14:58-16:03 D1 Point (H),25:32-27:53 D2 + Friends Point (H),23:00-24:40 Suns Point (B),22:10-23:14 O as D Point (H),17:05-17:30 O Point (H),17:27-19:17 O Point (H),16:35-18:20 D2 Point (H)
16:10-17:42 O Point (H),28:29-28:42 O Point (H),24:47-31:12 Aggro Z Point (B),23:40-24:03 O Point (H),17:56-23:01 Kill D Point (B),19:34-20:40 D2 Point (H),18:37-20:29 O Point (H)
18:04-18:25 D1 Point (H),28:55-31:19 Suns Point (H),31:15-31:39 D2 Point (B),24:11-26:09 D1 Point (B),24:27-30:24 D2 Point (H),20:59-21:17 O Point (H),21:08-23:25 O Point (H)
18:33-19:30 O Point (H),31:50-32:05 O Point (H),32:00-end D2 Point (H),26:17-x O as D Point (B),30:50-31:15 O Point (H),21:28-23:08 O Point (H),23:30-24:13 D1 Point (H)
19:35-20:17 D2 Point (H),32:51-end Aggro Z Point (B),,26:50-29:12 Suns Point (B),31:40-end D1 Point (B),23:23-end Aggro Z Point (B),24:25-27:23 O Point (H)
21:21-22:15 O Point (H),,,29:29-end D1 Point (H),,,27:40-28:38 D2 Point (H)
22:38-23:16 Kill D Point (H),,,,,,28:57-30:17 O Point (H)
23:22-25:42 O Point (H),,,,,,30:27-end Suns Point (H)
25:50-end D1 Point (?),,,,,,